fid,id,nb_points,x,y,h,lat,lon,z,gnd_elev,min_h,delta_h,avg_intensity,source,validity,is_outlier,is_windmill,windmill_h,windmill_id,windmill_status,windmill_stand,in_nrw,eTOD_found,eTOD_name,eTOD_z,eTOD_h,eTOD_descr,eTOD_dist,eTOD_x,eTOD_y,AIP_issue,ALS_issue,processed_on,ALS_comment,AIP_comment,free_comment,view_available,object_type,OSINT,duplicate,2D_embed_link,3D_embed_link
"23",03.02.31,"1598",405869.25,5815174.745,183.2000008,52.47860037,7.613981264,218.75,35.54999924,89.75000092,93.44999985,215.5913642,3dm_32_405_5815_1_nw.laz,2019-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"29",01.04.31,"777",359704.9864,5631748.89,112.5124995,50.82044917,7.008248453,160.97,48.45750046,60.20499893,52.30750061,33930.26641,3dm_32_359_5631_1_nw.laz,2022-02,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,industrial system with antenna,true,other,,false,https://dme-3.github.io/Obstacles-Map/embeds/1.4.31-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/1.4.31-3D.html
"43",03.03.32,"517",508090.6333,5812673.843,164.9374997,52.46416504,9.119083604,212.68,47.74250031,60.02750092,104.9099988,36897.08897,3dm_32_508_5812_1_nw.laz,2023-03,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"79",03.04.34,"1482",494916.3633,5700343.067,194.644978,51.45424428,8.926830778,522.48,327.835022,60.36749268,134.2774854,159.754386,3dm_32_494_5700_1_nw.laz,2021-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"81",01.01.35,"1150",320375.4,5578147.41,164.3899805,50.32800545,6.476249885,806.16,641.7700195,60.01000977,104.3799707,153.2965217,3dm_32_320_5578_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"82",02.01.35,"34119",339607.5393,5716704.356,160.2600003,51.57841607,6.685752994,186.33,26.06999969,60.00999916,100.2500011,1458.40687,3dm_32_339_5716_1_nw.laz,2020-03,false,false,,,,,true,false,,,,,,,,false,true,2024/02/08 00:00:00,destroyed,missing,,true,cooling tower,"https://de.wikipedia.org/wiki/Kraftwerk_Voerde
Am 3. Dezember 2023 wurde der Kühlturm des Kraftwerks gesprengt.[2][9][10]
",false,https://dme-3.github.io/Obstacles-Map/embeds/2.1.35-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/2.1.35-3D.html
"111",03.04.36,"1126",489032.1729,5690246.731,194.3974963,51.36337778,8.842466527,654.37,459.9725037,60.41748779,133.9800085,160.7735346,3dm_32_489_5690_1_nw.laz,2021-03,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"126",02.04.37,"5042",394820.5977,5719469.812,110.9800011,51.61622202,7.481036773,160.6,49.61999893,60.01000015,50.97000092,171.8800079,3dm_32_394_5719_1_nw.laz,2019-12,false,false,,,,,true,false,,,,,,,,false,true,2024/02/08 00:00:00,destroyed,,,true,,,false,https://dme-3.github.io/Obstacles-Map/embeds/2.4.37-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/2.4.37-3D.html
"129",01.01.38,"1102",320150.98,5578904.384,162.800022,50.33474567,6.472751171,762.84,600.039978,60.04998047,102.7500415,169.8339383,3dm_32_320_5578_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"143",03.04.38,"1993",495179.0364,5699349.774,191.9949939,51.44530471,8.930657239,558.22,366.2250061,60.00249023,131.9925037,148.874561,3dm_32_495_5699_1_nw.laz,2021-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
